frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
59,0,1.933,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
60,0,1.967,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
61,0,2.000,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
62,0,2.033,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
63,0,2.067,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
64,0,2.100,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
65,0,2.133,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
66,0,2.167,0.38,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
67,0,2.200,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
68,0,2.233,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
69,0,2.267,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
70,0,2.300,0.98,1,0.874760,0.078238,-0.478198,0.855918,0.073837,-0.511812,1.051,0.152
71,0,2.333,0.22,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
72,0,2.367,0.98,1,0.858591,0.048150,-0.510396,0.816333,0.059989,-0.574457,0.996,0.099
73,0,2.400,0.98,1,0.867179,0.076528,-0.492082,0.836441,0.077703,-0.542521,1.025,0.148
74,0,2.433,0.32,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
75,0,2.467,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
76,0,2.500,0.98,1,0.857280,0.040827,-0.513229,0.822386,0.033613,-0.567936,0.999,0.069
77,0,2.533,0.98,1,0.864148,0.032850,-0.502165,0.822513,0.029655,-0.567973,1.005,0.058
78,0,2.567,0.98,1,0.847174,0.003566,-0.531304,0.800542,0.000607,-0.599276,0.969,0.004
79,0,2.600,0.98,1,0.847173,-0.020160,-0.530934,0.794440,-0.023229,-0.606898,0.965,-0.038
80,0,2.633,0.98,1,0.857413,-0.026421,-0.513950,0.807456,-0.029381,-0.589195,0.986,-0.051
81,0,2.667,0.98,1,0.855820,-0.049141,-0.514934,0.809592,-0.056530,-0.584265,0.987,-0.096
82,0,2.700,0.98,1,0.861810,-0.044527,-0.505273,0.812016,-0.045026,-0.581896,0.995,-0.082
83,0,2.733,0.98,1,0.859811,-0.039216,-0.509104,0.822133,-0.042203,-0.567729,1.001,-0.075
84,0,2.767,0.98,1,0.862295,-0.057799,-0.503098,0.834147,-0.069957,-0.547087,1.016,-0.121
85,0,2.800,0.98,1,0.864283,-0.072118,-0.497809,0.841230,-0.087702,-0.533518,1.027,-0.154
86,0,2.833,0.98,1,0.857495,-0.075935,-0.508858,0.841876,-0.097548,-0.530782,1.022,-0.165
87,0,2.867,0.28,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
88,0,2.900,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
89,0,2.933,0.57,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
90,0,2.967,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
91,0,3.000,0.57,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
92,0,3.033,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
93,0,3.067,0.68,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
94,0,3.100,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
95,0,3.133,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
96,0,3.167,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
97,0,3.200,0.28,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
98,0,3.233,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
99,0,3.267,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
100,0,3.300,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
101,0,3.333,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
102,0,3.367,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
103,0,3.400,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
104,0,3.433,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
105,0,3.467,0.77,1,0.855384,0.128908,-0.501699,0.836716,0.137317,-0.530141,1.023,0.253
106,0,3.500,0.98,1,0.858122,0.130858,-0.496490,0.837183,0.136926,-0.529506,1.027,0.255
107,0,3.533,0.98,1,0.852480,0.152569,-0.500000,0.824963,0.162854,-0.541215,1.015,0.294
108,0,3.567,0.98,1,0.848698,0.168225,-0.501410,0.817505,0.183290,-0.545976,1.010,0.324
109,0,3.600,0.98,1,0.842092,0.175965,-0.509821,0.817779,0.194212,-0.541774,1.006,0.338
110,0,3.633,0.98,1,0.839405,0.189298,-0.509475,0.813712,0.208117,-0.542734,1.004,0.361
111,0,3.667,0.98,1,0.836074,0.187556,-0.515561,0.811415,0.206277,-0.546860,0.998,0.355
112,0,3.700,0.98,1,0.839641,0.182919,-0.511414,0.818186,0.199905,-0.539083,1.006,0.349
113,0,3.733,0.98,1,0.838507,0.192498,-0.509756,0.818741,0.208712,-0.534886,1.008,0.367
114,0,3.767,0.98,1,0.833183,0.205325,-0.513466,0.816266,0.220554,-0.533916,1.005,0.386
115,0,3.800,0.98,1,0.831300,0.222843,-0.509197,0.806689,0.238075,-0.540901,1.001,0.414
116,0,3.833,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
117,0,3.867,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
118,0,3.900,0.98,1,0.822101,0.228618,-0.521425,0.801386,0.243856,-0.546182,0.989,0.417
119,0,3.933,0.98,1,0.822559,0.230359,-0.519935,0.803634,0.245230,-0.542250,0.992,0.421
120,0,3.967,0.98,1,0.814782,0.229005,-0.532623,0.803962,0.242120,-0.543160,0.984,0.413
121,0,4.000,0.57,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
122,0,4.033,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
123,0,4.067,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
124,0,4.100,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
125,0,4.133,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
126,0,4.167,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
127,0,4.200,0.57,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
128,0,4.233,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
129,0,4.267,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
130,0,4.300,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
131,0,4.333,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
132,0,4.367,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
133,0,4.400,0.12,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
134,0,4.433,0.98,1,0.832786,0.074011,-0.548626,0.825321,0.129508,-0.549612,0.986,0.183
135,0,4.467,0.98,1,0.827713,0.094876,-0.553074,0.816861,0.157270,-0.554981,0.978,0.224
